Date,Transaction Description,Category,Amount,Type,Month,Net,Cumulative_Savings
2020-01-02,Score each.,Food & Drink,1485.69,Expense,2020-01,-1485.69,-1485.69
2020-01-02,Quality throughout.,Utilities,1475.58,Expense,2020-01,-1475.58,-2961.27
2020-01-04,Instead ahead despite measure ago.,Rent,1185.08,Expense,2020-01,-1185.08,-4146.35
2020-01-05,Information last everything thank serve.,Investment,2291.0,Income,2020-01,2291.0,-1855.3500000000004
2020-01-13,Future choice whatever from.,Food & Drink,1126.88,Expense,2020-01,-1126.88,-2982.2300000000005
2020-01-14,Benefit suggest page southern.,Shopping,448.68,Expense,2020-01,-448.68,-3430.9100000000003
2020-01-18,By two bad fall pick.,Food & Drink,1520.03,Expense,2020-01,-1520.03,-4950.9400000000005
2020-01-19,Court attorney product significant world.,Other,3287.0,Income,2020-01,3287.0,-1663.9400000000005
2020-01-21,Herself law.,Entertainment,1914.85,Expense,2020-01,-1914.85,-3578.7900000000004
2020-01-25,Have decide environment.,Rent,766.06,Expense,2020-01,-766.06,-4344.85
2020-01-25,Play move each left establish.,Health & Fitness,1211.41,Expense,2020-01,-1211.41,-5556.26
2020-01-26,Range successful simply.,Salary,1077.09,Expense,2020-01,-1077.09,-6633.35
2020-01-29,Source husband.,Shopping,166.81,Expense,2020-01,-166.81,-6800.160000000001
2020-01-30,Tree note responsibility.,Health & Fitness,1158.93,Expense,2020-01,-1158.93,-7959.090000000001
2020-01-31,How trip learn enter.,Food & Drink,1325.91,Expense,2020-01,-1325.91,-9285.000000000002
2020-01-31,Much section investment on gun.,Rent,1712.08,Expense,2020-01,-1712.08,-10997.080000000002
2020-01-31,Management sense technology check civil.,Shopping,563.17,Expense,2020-01,-563.17,-11560.250000000002
2020-02-02,As high you more wife.,Health & Fitness,333.68,Expense,2020-02,-333.68,-11893.930000000002
2020-02-04,Race mr.,Travel,1406.62,Expense,2020-02,-1406.62,-13300.550000000003
2020-02-05,Born itself law west.,Rent,1222.17,Expense,2020-02,-1222.17,-14522.720000000003
2020-02-05,Seven medical blood personal.,Investment,1838.0,Income,2020-02,1838.0,-12684.720000000003
2020-02-07,Current hear claim well two.,Travel,1979.15,Expense,2020-02,-1979.15,-14663.870000000003
2020-02-07,Food affect upon these story.,Entertainment,1372.38,Expense,2020-02,-1372.38,-16036.250000000004
2020-02-08,Staff within mouth call.,Other,3786.0,Income,2020-02,3786.0,-12250.250000000004
2020-02-08,Around there water.,Food & Drink,465.81,Expense,2020-02,-465.81,-12716.060000000003
2020-02-09,Close month parent who up.,Entertainment,1827.14,Expense,2020-02,-1827.14,-14543.200000000003
2020-02-11,Human public health.,Health & Fitness,433.13,Expense,2020-02,-433.13,-14976.330000000002
2020-02-13,Building different full open.,Salary,294.31,Expense,2020-02,-294.31,-15270.640000000001
2020-02-15,Detail audience piece director town.,Other,4009.0,Income,2020-02,4009.0,-11261.640000000001
2020-02-16,Method everything.,Shopping,730.37,Expense,2020-02,-730.37,-11992.010000000002
2020-02-16,Much rich think.,Utilities,1023.96,Expense,2020-02,-1023.96,-13015.970000000001
2020-02-18,Drug list imagine behind.,Investment,1398.0,Income,2020-02,1398.0,-11617.970000000001
2020-02-19,Interest level rock pull.,Investment,3958.0,Income,2020-02,3958.0,-7659.970000000001
2020-02-20,I fund.,Shopping,769.42,Expense,2020-02,-769.42,-8429.390000000001
2020-02-26,Court movie cell.,Travel,1942.45,Expense,2020-02,-1942.45,-10371.840000000002
2020-02-27,Leg themselves away.,Food & Drink,1363.76,Expense,2020-02,-1363.76,-11735.600000000002
2020-02-28,Anything yourself.,Other,3286.0,Income,2020-02,3286.0,-8449.600000000002
2020-02-28,Unit support.,Other,1795.0,Income,2020-02,1795.0,-6654.600000000002
2020-02-29,Magazine degree husband around.,Travel,1944.06,Expense,2020-02,-1944.06,-8598.660000000002
2020-03-03,World enter.,Rent,1742.33,Expense,2020-03,-1742.33,-10340.990000000002
2020-03-04,Institution whatever yet.,Entertainment,314.15,Expense,2020-03,-314.15,-10655.140000000001
2020-03-04,Choice father why often.,Food & Drink,1201.9,Expense,2020-03,-1201.9,-11857.04
2020-03-09,Security arm.,Rent,1858.91,Expense,2020-03,-1858.91,-13715.95
2020-03-09,Me system church whether.,Travel,486.51,Expense,2020-03,-486.51,-14202.460000000001
2020-03-11,Attention attack technology.,Rent,180.45,Expense,2020-03,-180.45,-14382.910000000002
2020-03-11,Walk now often.,Rent,1956.19,Expense,2020-03,-1956.19,-16339.100000000002
2020-03-12,Enter capital population.,Utilities,537.46,Expense,2020-03,-537.46,-16876.56
2020-03-12,Bank price north first end.,Utilities,265.5,Expense,2020-03,-265.5,-17142.06
2020-03-14,Upon very act perform.,Shopping,1929.08,Expense,2020-03,-1929.08,-19071.14
2020-03-15,Available defense.,Entertainment,1428.77,Expense,2020-03,-1428.77,-20499.91
2020-03-18,Value thing these.,Health & Fitness,881.82,Expense,2020-03,-881.82,-21381.73
2020-03-21,Citizen street region.,Rent,503.33,Expense,2020-03,-503.33,-21885.06
2020-03-23,Property never.,Investment,2385.0,Income,2020-03,2385.0,-19500.06
2020-03-23,Enough threat score.,Food & Drink,151.28,Expense,2020-03,-151.28,-19651.34
2020-03-24,Example decision garden.,Entertainment,144.13,Expense,2020-03,-144.13,-19795.47
2020-03-28,Major town suffer begin.,Other,1080.0,Income,2020-03,1080.0,-18715.47
2020-04-01,Analysis four capital.,Travel,1341.27,Expense,2020-04,-1341.27,-20056.74
2020-04-05,Scientist necessary into.,Utilities,1449.47,Expense,2020-04,-1449.47,-21506.210000000003
2020-04-06,Along hard need involve among.,Shopping,388.92,Expense,2020-04,-388.92,-21895.13
2020-04-06,Away third.,Salary,493.56,Expense,2020-04,-493.56,-22388.690000000002
2020-04-10,Together decide.,Other,3402.0,Income,2020-04,3402.0,-18986.690000000002
2020-04-17,Government nice.,Salary,1729.04,Expense,2020-04,-1729.04,-20715.730000000003
2020-04-17,See understand door class son.,Investment,996.0,Income,2020-04,996.0,-19719.730000000003
2020-04-18,Agent say forward us.,Health & Fitness,1603.18,Expense,2020-04,-1603.18,-21322.910000000003
2020-04-22,City red him.,Investment,2058.0,Income,2020-04,2058.0,-19264.910000000003
2020-04-23,Develop staff least figure.,Utilities,849.54,Expense,2020-04,-849.54,-20114.450000000004
2020-04-25,Age cover foreign.,Entertainment,1750.23,Expense,2020-04,-1750.23,-21864.680000000004
2020-04-26,Go meeting quickly.,Investment,914.0,Income,2020-04,914.0,-20950.680000000004
2020-04-26,Voice boy wife condition.,Food & Drink,1938.3,Expense,2020-04,-1938.3,-22888.980000000003
2020-04-27,Paper memory history office.,Entertainment,1730.65,Expense,2020-04,-1730.65,-24619.630000000005
2020-04-27,Board its.,Entertainment,340.96,Expense,2020-04,-340.96,-24960.590000000004
2020-04-29,Remember ability.,Utilities,764.16,Expense,2020-04,-764.16,-25724.750000000004
2020-04-30,Hair attorney professional.,Travel,1853.77,Expense,2020-04,-1853.77,-27578.520000000004
2020-05-01,Finish summer rest feel finally.,Travel,851.78,Expense,2020-05,-851.78,-28430.300000000003
2020-05-03,I fast camera inside.,Salary,318.05,Expense,2020-05,-318.05,-28748.350000000002
2020-05-03,Past feeling nature.,Food & Drink,1162.57,Expense,2020-05,-1162.57,-29910.920000000002
2020-05-05,Expert involve oil.,Health & Fitness,123.76,Expense,2020-05,-123.76,-30034.68
2020-05-06,Kid put memory soldier.,Utilities,123.19,Expense,2020-05,-123.19,-30157.87
2020-05-06,Exist professional.,Utilities,146.36,Expense,2020-05,-146.36,-30304.23
2020-05-07,Stand seem.,Investment,3807.0,Income,2020-05,3807.0,-26497.23
2020-05-11,Southern challenge animal.,Investment,825.0,Income,2020-05,825.0,-25672.23
2020-05-12,Sure authority increase picture create.,Shopping,1318.17,Expense,2020-05,-1318.17,-26990.4
2020-05-13,Hundred challenge reach throughout.,Health & Fitness,1870.07,Expense,2020-05,-1870.07,-28860.47
2020-05-14,Despite sound receive let.,Health & Fitness,484.99,Expense,2020-05,-484.99,-29345.460000000003
2020-05-15,True building card.,Travel,919.88,Expense,2020-05,-919.88,-30265.340000000004
2020-05-16,Write other wear through partner.,Rent,28.54,Expense,2020-05,-28.54,-30293.880000000005
2020-05-17,Store natural today season.,Rent,155.79,Expense,2020-05,-155.79,-30449.670000000006
2020-05-19,Else easy point she.,Travel,273.59,Expense,2020-05,-273.59,-30723.260000000006
2020-05-20,Phone ever back experience.,Rent,1759.75,Expense,2020-05,-1759.75,-32483.010000000006
